country,domain,indicator,group,weight,si,value,score
Cyprus,Policy,Right to health,General,2,1,1,2
Cyprus,Policy,HIV plan updated,General,1,2,1,2
Cyprus,Policy,Migrants included in HIV plan,Migrants,3,2,1,6
Cyprus,Clinical,PrEP access,Migrants,5,0,0,0
Cyprus,Clinical,HIV testing,Migrants,5,2,1,10
Cyprus,Continuum,ART access,Migrants,5,1.5,1,7.5

France,Policy,Right to health,General,2,1,1,2
France,Clinical,PrEP access,Migrants,5,2,1,10
France,Continuum,ART access,Migrants,5,2,1,10

Germany,Policy,Right to health,General,2,1,1,2
Germany,Clinical,PrEP access,Migrants,5,0,0,0
Germany,Continuum,ART access,Migrants,5,2,1,10

UK,Policy,Right to health,General,2,1,1,2
UK,Clinical,PrEP access,Migrants,5,2,1,10
UK,Continuum,ART access,Migrants,5,2,1,10
